Grade,Term 1,Term 2,
8,3.833,4,3.9165
6,2.286,2.571,2.4285
7,1,0.833,0.9165
7,1.143,1.286,1.2145
8,2.333,2,2.1665
8,3,3.571,3.2855
7,1.286,1.286,1.286
8,0.571,1.143,0.857
6,3.571,3.429,3.5
7,2.833,3.143,2.988
7,1.714,1.143,1.4285
8,3.667,3.714,3.6905
7,3.571,3.714,3.6425
6,3.857,4,3.9285
6,2.857,2.857,2.857
6,3.571,3.714,3.6425
7,1.833,1.429,1.631
6,1.571,2.286,1.9285
7,1.286,1.429,1.3575
6,3,2.571,2.7855
7,2.143,1.571,1.857
7,0.857,1,0.9285
6,3,2.143,2.5715
6,3.429,3,3.2145
6,2.429,1.714,2.0715
7,0.714,1.571,1.1425
6,3.857,3.857,3.857
7,4,4,4
7,3.857,3.571,3.714
8,4,3.857,3.9285
8,2.286,2.286,2.286
6,3.286,3,3.143
6,2.167,1.857,2.012
7,1.286,1.143,1.2145
6,3.143,3.429,3.286
6,2,2,2
6,4,3.429,3.7145
8,1,1.167,1.0835
8,3,3.143,3.0715
7,0.857,0.429,0.643
8,2.571,2,2.2855
6,3,3.571,3.2855
8,0.857,1.143,1
6,2.143,1.714,1.9285
8,2.429,2.857,2.643
6,,,#DIV/0!
8,1.857,1.429,1.643
6,2.857,2.143,2.5
8,1.5,1.857,1.6785
8,2.333,1.857,2.095
8,0.571,1.143,0.857
7,3.429,3.143,3.286
7,1.571,2.429,2
7,2.571,1.714,2.1425
8,2.571,2.286,2.4285
7,3.857,3.857,3.857
6,1.857,1.286,1.5715
7,3.571,3.429,3.5
6,2.857,3.143,3
8,1.429,1.571,1.5
6,3.714,3.429,3.5715
8,3.714,3.429,3.5715
8,0.857,0.857,0.857
8,1.857,1.429,1.643
8,1.571,1.571,1.571
6,2,2.714,2.357
8,0.429,0.286,0.3575
6,1,1.429,1.2145
6,0.286,0.857,0.5715
7,2.143,1.429,1.786
8,2,2.286,2.143
7,3,1.857,2.4285
6,1.333,1.714,1.5235
